seq_id	cluster	predicted_taxa	confidence	true_taxa
AY426801.1	2	31217	0.5045	25416
GQ339760.1	2	32061	0.9921	32061
MT056129.1	2	-1	0.3166	12828
KP120057.1	2	66025	0.3821	21075
DQ055353.1	2	-1	0.2725	72187
FJ447440.1	2	-1	0.1351	37731
MH432131.1	2	-1	0.2404	30280
GQ284594.1	2	-1	0.3399	31882
AY271539.1	2	15377	0.3657	28802
MN699344.1	2	65748	0.4293	11809
AY145391.1	2	-1	0.1900	5040
EU019733.1	2	9472	0.9382	9472
AF168627.1	2	14380	0.5159	6991
KX721211.1	2	4217	0.4967	25979
KM877313.1	2	44875	0.6473	68603
FJ565338.1	2	46250	0.7052	66617
AY551329.1	2	30570	0.7579	30574
AY033612.1	2	44353	0.8058	44364
KC843447.1	2	63263	0.7340	14583
MF683564.1	0	59808	0.4544	59807
KY987597.1	2	43109	0.8483	50097
KP214503.1	2	26062	0.9624	26062
EU336185.1	2	-1	0.2503	54986
KY104372.1	2	44422	0.9768	44422
MN496317.1	2	-1	0.3318	12007
AF551732.1	2	11124	0.4198	69367
JALBUQ010000185.1	2	47727	0.5404	57083
EF457718.1	2	3676	0.5680	32791
MW883409.1	2	42605	0.9220	10356
HQ286132.1	2	61654	0.7704	31789
JX459020.1	2	35702	0.4830	35702
AF485222.1	2	-1	0.2150	7513
AY508014.1	2	58360	0.5098	9623
AF165900.1	2	18666	0.5772	18674
MW934582.1	2	-1	0.3313	24517
KM034869.1	2	-1	0.2996	19849
KU358563.1	2	29016	0.5358	7654
EU305532.1	2	-1	0.1251	63163
KY853460.1	2	16490	0.7692	54307
AY903361.1	2	41876	0.9439	38720
EU703930.1	2	10462	0.9985	56433
ON502916.1	2	27957	0.5034	30775
KU209666.1	2	29446	0.7985	29446
AF254591.1	2	43883	0.4790	1915
KY495280.1	2	15902	0.6240	19127
MF695077.1	2	-1	0.3089	73536
AY605399.1	2	49973	0.3954	554
MK050294.1	2	43607	0.6805	22140
AY227142.1	2	-1	0.2751	42638
MK577518.1	2	-1	0.2751	33555
AJ310979.1	2	37203	0.6107	64727
KM231800.1	2	48998	0.9687	-1
KM521424.1	2	37412	0.9028	40232
MT935106.1	2	52156	0.5416	17011
MH710781.1	2	36473	0.4399	72618
LC043078.1	2	69180	0.5965	7916
MW009252.1	2	52203	0.6346	17346
AF262884.1	2	-1	0.2845	44034
AY635036.1	2	47400	0.4536	61005
MK347800.1	2	8239	0.9927	65370
EF035097.1	2	40264	0.9346	40264
FJ572740.1	2	55879	0.3857	53260
EF550311.1	2	19158	0.9510	19158
GU182300.1	2	5539	0.4844	27150
KF707554.1	2	14095	0.4158	32016
KJ472454.1	2	15862	0.5407	34413
HQ404801.1	2	-1	0.3093	26716
JF977433.1	2	-1	0.3201	49462
KF263222.1	2	11473	0.3756	27915
KU184455.1	2	47135	0.9945	47176
AF538590.1	2	973	0.5292	979
FJ612475.1	2	55253	0.4378	25830
GU169115.1	2	-1	0.2215	65330
AY583507.1	2	67032	0.6673	72429
MH718303.1	2	66195	0.6288	72273
EU086389.1	2	30887	0.9824	30887
HQ900640.1	2	-1	0.1971	26439
KU953777.1	2	48243	0.9019	48245
AF223549.1	2	45924	0.4855	10048
KT758837.1	2	-1	0.2856	70639
MK522244.1	2	-1	0.2490	20701
AY365385.1	2	67703	0.9235	10424
KM876909.1	2	58766	0.8524	8503
MN243155.1	2	2187	0.4905	8639
KF685762.1	2	3019	0.7204	60994
KM589258.1	2	-1	0.3287	37664
GU177667.1	2	-1	0.3150	72627
KT722394.1	2	25808	0.9141	25808
KJ629068.1	2	-1	0.3207	23378
AF485097.1	2	7362	0.6738	7384
KU209549.1	2	53052	0.9954	53052
KU204065.1	2	28042	0.5703	12613
KC899272.1	2	16103	0.6919	56299
MK683182.1	2	60412	0.3914	16439
MH508535.1	2	-1	0.2194	2904
KC480331.1	2	-1	0.2695	19413
FJ040555.1	2	13559	0.7496	13559
KY966600.1	2	47092	0.3638	28748
AY792884.1	2	-1	0.3099	71387
AF386635.1	2	33547	0.3555	51236
MF683587.1	0	59809	0.4919	59809
AY485486.1	2	70543	0.5816	59341
KC429480.1	2	23482	0.3531	32547
KF015350.1	2	46889	0.8644	46858
EU273270.1	2	37925	0.3898	39985
KC184474.1	2	13582	0.5619	9740
KX371696.1	2	-1	0.1796	18102
MK035972.1	2	51526	0.7810	66118
MN761646.1	2	11329	0.4940	11341
KJ483088.1	2	-1	0.2836	23632
GQ267596.1	2	51855	0.4450	55173
MN031164.1	2	-1	0.1886	27720
KC212304.1	2	26344	0.5818	26392
AM946471.1	2	-1	0.2103	69822
KJ780448.1	2	26728	0.7420	16525
KF923175.1	2	18796	0.3899	52920
KC529579.1	2	42572	0.9706	42572
KU551948.1	2	32969	0.9152	32969
JQ340344.1	2	54017	0.8349	54017
AY028452.1	2	8202	0.8268	8202
MF468209.1	2	20642	0.3756	46339
AY348819.1	2	34365	0.9684	34365
KT199590.1	2	70216	0.9811	70216
KC197149.1	2	34589	0.4055	66384
MK917740.1	2	67180	0.5155	2224
AY763868.1	2	71841	0.4751	6859
MN549465.1	2	59455	0.9907	59455
JX240264.1	2	25048	0.9932	25048
KF498057.1	2	56022	0.7202	55998
KX887242.1	2	24114	0.8637	24125
KY051472.1	2	38074	0.3565	53843
MG978410.1	2	67204	0.6764	68358
KU855555.1	2	48404	0.9359	5399
AY731255.1	2	35107	0.4810	62085
KF857171.1	2	-1	0.2157	16221
HM204877.1	2	22057	0.7136	22057
AF036489.1	2	-1	0.1590	24675
KF155347.1	2	5383	0.4595	34187
AY605293.1	2	512	0.8901	512
AY631899.1	2	18507	0.4801	36719
AF338263.1	2	42343	0.7391	48531
KY239336.1	2	64026	0.7263	25031
AF212166.1	2	23722	0.9737	23722
DQ117459.1	2	26748	0.6010	30550
KY421092.1	2	45730	0.4186	45730
AF163695.1	2	-1	0.2848	23211
KC171350.1	2	8239	0.8801	8581
JX442759.1	2	-1	0.3074	36791
Z28417.1	2	70549	0.5245	43837
MN762431.1	2	11571	0.6392	11667
AF396683.1	2	61100	0.3544	4347
KU552239.1	2	14101	0.9998	14101
NR_156397.2	2	28239	0.9814	28239
KX713341.1	2	-1	0.3479	60531
KT022437.1	2	-1	0.1608	49926
JQ890503.1	2	33412	0.9980	33412
AF263401.1	2	63618	0.5582	22326
KT344103.1	2	-1	0.2725	40262
FM244858.1	2	-1	0.1587	8546
AY036227.1	2	50106	0.9700	50106
DQ457677.1	2	33467	0.9951	33467
EF530800.1	2	3995	0.9998	3995
AF479113.1	2	26048	0.8726	26048
AF229044.1	2	58797	0.6093	71873
OL853719.1	2	17324	0.5568	24539
AF479139.1	2	-1	0.3069	18725
AY280345.1	2	-1	0.3043	4584
KX786115.1	2	43155	0.6963	43155
MH377216.1	2	34397	0.8003	34397
MH862927.1	2	14432	0.4470	42647
KY039164.1	2	-1	0.2821	7720
KU898293.1	2	25870	0.5002	44072
KU570779.1	2	23253	0.5340	51248
EF189662.1	2	-1	0.1291	70245
JN226107.1	2	31501	0.3842	3932
AJ287281.1	2	8003	0.8420	7409
KY789400.1	2	4132	0.9847	4132
JF977451.1	2	49467	0.9995	49467
KC528876.1	2	-1	0.2202	16361
EU019276.1	2	42565	0.8794	72836
KC133358.1	2	62763	0.9618	62763
KU204083.1	2	12603	0.9845	12603
OL413014.1	2	-1	0.2996	40801
KC535852.1	2	9419	0.7054	13540
DQ320791.1	2	43298	0.8735	54792
MH388352.1	2	34109	0.3733	37161
EU070749.1	2	-1	0.2058	61022
MH253884.1	2	40895	0.5564	28818
KX954934.1	2	51855	0.7791	6144
EU528909.1	2	19555	0.4908	68628
JX564769.1	2	-1	0.2720	72314
MF683493.1	0	59808	0.6171	59808
KX229791.1	2	-1	0.3449	25249
DQ167587.1	2	32722	0.6841	32691
MG253170.1	2	47120	0.5237	40169
KX446768.1	2	21335	0.4477	58644
HQ232187.1	2	42777	0.3749	872
AJ310730.1	2	-1	0.2352	3355
DQ463782.1	2	63435	0.5048	2469
KF307436.1	2	31527	0.6503	37715
MH934185.1	2	-1	0.2994	25010
GU110871.1	2	8719	0.6937	23957
FJ469595.1	2	47552	0.9273	47552
FJ380495.1	2	55389	0.8236	28025
KX982520.1	2	-1	0.2353	69200
KY368800.1	2	-1	0.2271	27210
JN828942.1	2	39122	0.9998	39122
FJ427907.1	2	23914	0.4716	8140
JN050240.1	2	-1	0.2523	15725
JX506305.1	2	-1	0.3251	72085
DQ836000.1	2	69337	0.9983	69337
GU013206.1	2	34639	0.8032	34637
DQ026256.1	2	62352	0.9059	27114
MK007091.1	2	67550	0.8511	39709
EU528601.1	2	29312	0.4180	13284
GQ181077.1	2	12849	0.5408	2244
DQ461792.1	2	29849	0.4063	41288
JN388073.1	2	40035	0.6094	23105
MT533889.1	2	71888	0.4415	34441
GQ845149.1	2	43154	0.8801	43154
AF189040.1	2	26447	0.7935	47504
MN762089.1	2	-1	0.2803	11421
KT380434.1	2	-1	0.2652	48215
KT865522.1	2	28673	0.4720	31665
AY101288.1	2	7423	0.7479	786
KP641179.1	2	-1	0.3033	22923
HQ643890.1	2	29484	0.9942	29484
KT781693.1	2	1379	0.6386	2160
FJ428640.1	2	-1	0.1693	5442
MK829076.1	2	42494	0.7201	72867
MT850029.1	2	-1	0.3387	18979
KU881052.1	2	59912	0.8597	59912
MN762168.1	2	11731	0.4486	11730
MK238643.1	2	12635	0.3802	32272
KC215308.1	2	9613	0.6892	70953
MZ611664.1	2	54088	0.3505	24515
